Room	Description	Connections
0	This is a building in the shape of a book . . . a maze. Each numbered page depicts a room in the Maze. The doors in each room lead to other pages, other rooms. The object of this book is to find your way from the entrance (room 1) to the center of the Maze (room 45) and return to the entrance. The shortest path there and back is a round trip of 16 steps. A map of the rooms visited, a description of each room, and an illustration of each room are given. Clues to the solution of the Maze are hidden in the illustrations. Good luck.	1
1	"<p>. . . the entrance hall of the Maze.</p><p>They looked carefully at the bronze doors, trying to choose. The uncertainty of visitors is one of my little pleasures.</p><p>""It’s easy to get lost,"" I said helpfully. ""This can be a sinister place."" The sun glared at me through the gateway.</p><p>Something was ringing behind one of the doors. They spent some time trying to decide which door it was, not understanding that the silences of the Maze are as eloquent as the sounds.</p><p>""Decisions, decisions,"" one said. ""Too many decisions.""</p><p>""The story of my life,"" said another.</p><p>""We don't want to be late,"" said a third, opening one of the doors.</p><p>""Nary a soul to be seen,"" said the first, peering into the gloom.</p><p>I waited patiently for them to choose which way to go . . . </p><p>into . . .</p>"	20;26;41;21
2	"<p>. . . a bright room whose walls were in some disrepair. The floorboards creaked and groaned; the plaster made a gritty sound.</p><p>They studied the old frescoes for clues but missed the obvious signs.</p><p>""Are we on the right path?"" they asked.</p><p>Keeping in mind what a relative term ""right"" is, I assured them they were, indeed, on the right path. As for the ""correct"" path or the ""most appropriate"" path. . . . Well, that might be something else.</p><p>Full of confidence now they marched out to . . .</p>"	22;29;12
3	"<p>. . . an entirely different kind of place.</p><p>The group complained of feeling ""all turned around,"" as well they might.</p><p>Because no one wanted to stay here very long they missed the real sign while looking through the obvious. People in their situation, confronted with a challenge, tend to accept the terms of the challenge as a given, without examining it from all sides. How many sides does that problem have? They don't know.</p><p>We passed down a long flight of stairs, through some sort of pantry, and on into . . .</p>"	33;9;18
4	"<p>. . . the great hall of many doors.</p><p>""What a foolish face,"" I snorted. ""Pay no attention.""</p><p>A sound made them all turn suddenly. A small black cat ran out of a door to my right, sniffed at us, and, before I could move, ran out of the hall. It was fortunate that I was still standing with the rest of them or they might have noticed.</p><p>Faint voices came down one of the corridors.</p><p>""Shall we toss a coin?"" I asked. ""Or have you made up your minds?""</p><p>They hadn't made up their minds, and they had no coins. By a process of elimination they decided to go to . . .</p>"	44;29;15;11;16;24;43
5	"<p>. . . the tree room.</p><p>""Are these real?"" they asked.</p><p>I told them the trees were as real as anything else in the House. As this was an important decision I encouraged them to take their time. After all, the more they think about the possibilities the more choices they have to make.</p><p>What were their chances of choosing wisely . . . one in four? Two in four perhaps, if I was generous about it . . . and why not be generous? There are one hundred ninety doors in this part of the House, counting the gate . . . enough for everyone.</p><p>Making a choice, they entered a very long, dark corridor and at last came out into . . .</p>"	43;22;30;20
6	"<p>. . . a gloomy, cavelike place far underground. Even I was oppressed by the weight that hung over our heads. A very small hole, high above, admitted a feeble light.</p><p>Standing in the light one of them put his hand out. ""I think it may be raining out there . . .""</p><p>They didn't like the look of the place.</p><p>""You continue to judge everything by the way it looks!"" I cried, exasperated by their timidity. I knew I shouldn't have said anything. If you think of all the deceptions practiced in my family, particularly on my father . . .</p><p>We went down the only way open to us and came to . . .</p>"	40
7	"<p>. . . a pleasant room with three doors and a lamp. Looking at the picture on the wall they decided it wasn't a very good likeness.</p><p>One of them almost fell over something on the floor. ""Why don't they pick up after themselves?"" he said, sounding like an old man.</p><p>""Weren't you ever irresponsible?"" I asked, thinking of my childhood and how wild I had been.</p><p>Music was being played somewhere nearby. We stopped to listen for a moment.</p><p>Leaving the pictures looking out at an empty room we went on to . . .</p>"	33;36;16
8	"<p>...a vaulted chamber lit by a single bulb.</p><p>Someone knocked a bowl off the table. The crash echoed from the ceiling and whispered away down the corridors. I broke another on purpose.</p><p>""Make sure to take that with you,"" I said. ""You can never tell when you might need it.""</p><p>""Take what?"" they wanted to know.</p><p>""Isn't it obvious?""</p><p>Taking a vote among themselves they went on to...</p>"	31;6;29;12
9	"<p>...what appeared to be an old storeroom. Dust obscured a damaged paineting making it hard to understand just what the artist had intended.</p><p>""This could be a trick of some sort,"" one said. ""We might be going around in circles.""</p><p>""I don't think so,"" said the thoughtful one. ""I think we're supposed to think it's a trick...that's the trick.""</p><p>They all looked at me. ""Yes,"" I said. ""I'm sure you're right about that.""</p><p>With doubtful looks they left for...</p>"	3;18
10	"<p>...a room that smelled of paint. Faint voices, apparently in an argument, came from behind the locked door.</p><p>""You know,"" said one, ""that sounds like us in there...""</p><p>They tried the door but, naturally, it wouldn't open. The voices stopped when the doorknob rattled.</p><p>One picked up the umbrella. ""It may rain where we're going.""</p><p>I signaled my approval and, after a short rest, we came to...</p>"	34;41;14
11	"<p>...an airy room with many doors. It was a big space, but I still felt crowded. I've always hated confinement.</p><p>""Whatever you do,"" I warned them, ""don't touch that!""</p><p>""This must be an important room,"" said one of them. ""It has more doors than any of the others...""</p><p>This was not true, but I didn't want to interrupt.</p><p>""With so many paths crossing here we must be close to the center,"" she continued.</p><p>I had noticed this guest before; I would have to be careful. ""This is an important choice,"" I said, trying to encourage them.</p><p>Gratefully leaving the room behind we walked all the way to...</p>"	40;24
12	"<p>...a spacious room with a hole in the floor. A ladder led down into the shadows. Outside, leaves shook in the wind. They didn't like the look of that hole in the floor.</p><p>""Too dark down there!"" they cried. ""Who knows what's at the bottom."" They looked at me again.</p><p>""Probably a room of some kind,"" I volunteered quickly. ""But you know what I say about appearances."" It would have been a relief to get outside for a while.</p><p>They wanted to know if they had been here before.... How could I answer that?</p><p>""I have the strangest feeling of déjà vu,"" said one who, bolder than the rest, led us into...</p>"	2;21;39;8
13	"<p>...room number 13.</p><p>They weren't really comfortable here and I knew why.</p><p>""No, no,"" they said. ""We're not all superstitious.""</p><p>""Only some of you, then?""</p><p>They were worried it might be Friday. Well it's true that is was closer to the end of the week than they realized. It takes a great deal of experience, certainly more than they possessed, to understand how time works in the Maze. The clock thought it was six in the evening.</p><p>Quickly moving on we came to...</p>"	27;18;25
14	"<p>...one of the biggest rooms in the House. All three doorways were dark.</p><p>""Afraid to go out?"" I asked.</p><p>Since they tried to think of themselves as adults, they didn't care for my question.</p><p>""Not really,"" said the thoughtful one, ""but that doesn't mean we have to go running around out there just to prove something to you.""</p><p>I knew she would bear watching.</p><p>""Choose then!"" I cried, as if my feelings were hurt. ""Pay no attention to anything I say."" I knew they couldn't afford not to listen to me entirely...they were so easily led.</p><p>Turning around, the group took a path that completely surprised me after all, and I followed them to...</p>"	10;43;24
15	"<p>...room number 15. Just as we entered I heard a thump and the sound of footsteps hurrying away. Somewhere a door slammed.</p><p>""At least three of us can sit down here,"" said one.</p><p>There were only three possible choices.</p><p>Leaning on the sacrificial tripod I was suddenly moved to say, ""Perhaps these numbers relate to each other in some specific combination..."" Immediately I regretted this act of charity...sometimes I think, after all these years, that I don't really know myself.</p><p>One of them thought he had worked it out and, very pleased with himself, led us into . . .</p>"	30;37;3
16	"<p>...a stone chamber which reminded me of my old neighbors.</p><p>Of course, that was a long time ago now, but would you believe their descendants are still telling stories about me and my family to their children?</p><p>Even if most of the stories are lies and exaggerations, it is immortality of a sort.</p><p>As I passed in front of an open doorway a figure, crossing the hall outside, saw me and immediately ran off.</p><p>""Who was that?"" they asked.</p><p>""Another visitor, to be sure.""</p><p>""Why did he run away?""</p><p>""You scared him,"" I said, and they apparently believed me.</p><p>With few regrets on my part we left for...</p>"	36;7
17	"<p>...a room with a floor of sand.</p><p>""Amphorae,"" I pronounced; empty, of course.</p><p>""This is an easier choice to make,"" they said.</p><p>""You may think so,"" I muttered to myself, ""but your choices are more limited than you know.""</p><p>One should never accept the obvious here. If you think of the Maze as a machine, confusion is its product, and the machine was hard at work.</p><p>Ignoring my good advice they hurried into...</p>"	45;33;6
18	"<p>... a much warmer room. Shadows danced across the floor to fire's music.</p><p>""Someone's lost his hat.""</p><p>""Are you sure it's the hat that is lost?"" I asked reasonably enough. No one would answer me.</p><p>Ducking behind a curtain and hurrying down a passageway we came out in ...</p>"	13;3
19	"<p>...a shaded portico. A late afternoon sun warmed the rough blocks of stone.</p><p>""Get out of the way!"" someone called. We moved into the yard, squinting at the strong light.</p><p>One of them sat on a marble bench after I politely pushed some flowers aside. ""Did you pick these for me?"" she asked, looking me in the eye. I had to tell her the truth.</p><p>In another part of the grounds someone was singing, but they couldn't make out the words.</p><p>Like children they soon became restless and impatient to see something new, so we went on to...</p>"	31;11
20	"<p>...room number 20. The ringing stopped as soon as we entered.</p><p>""What is the matter now?"" I asked them.</p><p>""Too many animals for a proper house!""</p><p>They walked carefully around the edges of the room. I watched with an amusement shared, I think, by the wise old tortoise.</p><p>With backwards looks and muttered comments about turtles they left room number 20 and entered...</p>"	5;27;1
21	"<p>...a yard containing shrubs trimmed in ornamental shapes.</p><p>""This,"" I began, ""is called...""</p><p>""We know what the name is,"" they interrupted. ""Why don't you just tell us which way to go?""</p><p>""I wasn't referring to the plants,"" I said in a huff. I refused to say anything else, leaving them to find their own way to...</p>"	44;24;31
22	<p>...a gaudy room that reminded me of a theatrical backdrop. Places like this are overdone, for my taste, but some people like the exotic...well, everyone is a critic.</p><p>It's true, I am by nature extremely critical. Although my life is a lonely one I have not spared any of my guests the rigor of my judgment.... We all have our roles to play.</p><p>This is not a bad place, really; one could spend quite some time here. However, in their restive way, the group moved on to...</p>	43;38
23	"<p>...a room with three other doors. Looking out the windows my feet crushed something on the floor.</p><p>""Watch your step here,"" I warned them. I'm always ready to be helpful with the less important things.</p><p>""Look at those two trees out there,"" one said, looking over my shoulder, which is not easy to do.</p><p>""Must be a real wind coming up.""</p><p>Now they realized that it could rain where they were going.</p><p>""We should have brought that bumbershoot with us from the coat room...""</p><p>""Which room was that?""</p><p>""You remember, the one with the animal...""</p><p>I suggested that we take the door on my right and they realized they had found the door they had been seeking for so long, the entrance to...</p>"	28;8;45;19
24	"<p>...a place of unlimited darkness.</p><p>""Where are the doors?"" they asked nerviously. ""We can't see any doors...""</p><p>""Be careful where you step!"" said a cold voice. ""This spot is taken."" Dozens of eyes blinked at us in the Stygian gloom.</p><p>By the time my uncertain visitors turned to ask me what to do I was already far away.</p><p>""There are no doors,"" said the voice. ""You are here with the rest of us now...""</p><p>Even my bellowing laughter couldn't fill this space.</p>"	
25	"<p>...a high room with the image of a crown on the wall for everyone to see now. Though one of my parents might be lowborn, the other was close to a king.... I've always felt at home here.</p><p>""Which door ought we take?"" they wanted to know. I rather brusquely indicated the three doors.</p><p>""Any of those is fine for my purposes.""</p><p>They were disconcerted at the apparent lack of clues. ""Perhaps in another room,"" they said, leaving for...</p>"	34;13;35
26	"<p>...a dramatic room with four entrances and exits.</p><p>""Not enough light in here,"" they remarked. ""Not very tidy either.""</p><p>""Which way now, children?"" I asked in my most patronizing voice.</p><p>They objected to my tone, but it distracted them from the real clues. The game usually goes as I plan it, despite the intentions of my visitors, or perhaps because of their intentions.</p><p>""What the devil is this supposed to be?"" one asked. They gathered around and I realized they were close to something. I quickly picked up the bell, ringing it loudly.</p><p>""Was this what you heard outside?""</p><p>Holding their ears they ran out the door to...</p>"	30;36;38;1
27	"<p>...a darkened chamber dominated by a large figure.</p><p>We could see that someone had been working here recently; the entrance I had so carefully hidden had been uncovered. I made a note to return as soon as I could and fill in the hole again.</p><p>The visitors were so intrigued with the entrance at the bottom of the excavation that they ignored what the figure was trying to tell them.</p><p>""Where are the workmen?""</p><p>""They must be ahead of us,"" I said. ""If we hurry we can catch them...I mean catch up with them.""</p><p>I herded the group through the door to...</p>"	13;9
28	"<p>...a spacious room with a hole in the floor. A ladder led down into the shadows. Outside, leaves shook in the wind. They didn't like the look of that hole in the floor.</p><p>""Too dark down there!"" they cried. ""Who knows what's at the bottom."" They looked at me again.</p><p>""Probably a room of some kind,"" I volunteered quickly. ""But you what I say about appearances."" It would have been a relief to get outside for a while.</p><p>They wanted to know if they had been here before.... How could I answer that?</p><p>""I have the strangest feeling of déjà vu,"" said one who, bolder than the rest, led us into...</p>"	23;43;32;45
29	"<p>...a much smaller room.</p><p>A person with a white staff turned to face us. His associate shrugged, not an easy thing to do in his position, and went back to what he had been doing.</p><p>""Look, look,"" said the person with the staff. ""This is very important...""</p><p>I snatched the paper from his hand and tore it into pieces.</p><p>""How will he find his way without directions?"" the group wanted to know.</p><p>""Don't worry,"" said the man, ""here blindness is no disadvantage.""</p><p>I hurried my visitors out as quickly as I could to...</p>"	8;40;35;2;17
30	"<p>...room number 30. ""What a beautiful door...the others are so plain,"" said one.</p><p>""It's meant to influence our decision,"" said another.</p><p>""Perhaps this has been done so we will not choose this door,"" said the thoughtful one.</p><p>They wanted to know what the letters meant. Obviously they meant something, and I said so.</p><p>""Yes, but...why 'O' and 'U'? What special significance can they have for us?""</p><p>The more confused they became, the more I enjoyed it. No matter how many times I've been through this I'm always fascinated.</p><p>Leaving the room and all that it contained behind us, we entered...</p>"	42;34;5;15
31	"<p>...a melancholy little courtyard surrounded by a brick wall too high to see over. A dead tree lifted its bone-white branches to a sky filling with gray clouds.</p><p>""Those doors look very strange,"" they said.</p><p>""You should say, 'They look very strangely,'"" I corrected.</p><p>""They seem to be watching us...""</p><p>A sudden gust of wind made the branches clatter against each other like old boards. Dead leaves began to gather at our feet.</p><p>Shivering in the wind we managed to push open one of the heavy doors and make our way to...</p>"	44;19;21
32	"<p>...a large square room with a hole rudely broken through one wall. It must have taken a great deal of strength to pull the heavy stones out of position.</p><p>The symmetry was also disturbed by the apparent loss of one of the room's statues. My visitors thought a thief had broken into the room, removed the figure, and made away with it. This, of course, was one explanation.</p><p>""Another one!"" they cried.</p><p>""You mean another representative of the animal kingdom?"" I asked.</p><p>""What is a bird like that doing here?""</p><p>""Roosting, evidently."" Their attitude was really beginning to irritate me. I have come to think of all the inhabitants of this House as members of my little kingdom. People can be so arrogant...in a very real way we are all animals, at least in part.</p><p>I wouldn't answer any more of their questions so we left this room to enter...</p>"	11;6;16;28
33	<p>...the room with no floor. They crowded each other on the narrow ledge. The bold one ventured out to the center.</p><p>Realizing that they could see all of the signs only from the center of the room, several wanted to turn back.</p><p>With exaggerated caution, considering their predicament, they finally reached the door they wanted and eventually found themselves in...</p>	3;35;7
34	"<p>...a middle-class drawing room or parlor. It was amazing how much more comfortable they felt in these surroundings.</p><p>Everyone sat down, some on the floor, and chatted about where they had been and where they should go.</p><p>""Magpies!"" I said to myself. ""Not a real thought in their heads.""</p><p>They were so much at ease they almost missed what the room was telling them altogether. They finally got the message, which I thought was pretty obvious, and we went on to...</p>"	10;25
35	"<p>...what appeared to be someone's basement. One of them sank gratefully down on an old couch which promptly collapsed.</p><p>I tried to hide my smile.</p><p>""A totem, or tribal fetish,"" said one, walking around the center of the room.</p><p>""It could be a work of art,"" suggested another.</p><p>""Perhaps it's a signal to us,"" the thoughtful one said. ""A warning or direction?""</p><p>""Not much help when there is only one way to go,"" put in another.</p><p>""I still think it's a signal.""</p><p>""Yes,"" I said right away, ""I'm sure you're right.""</p><p>She was immediately suspicious. Still, with no real choice to make, we left the thing standing alone in light and silence, and went into...</p>"	33
36	"<p>...an old and ruinous part of the House. Turning a corner the music we had been hearing became louder and at last we saw the musicians themselves.</p><p>They were so involved they failed to hear us. The music was suited to the scene - a moody, romantic melody. We stopped to listen and I admit that I, too, was affected by the sound as well as by the spectacle of the masked players.</p><p>One of the visitors noticed me listening. ""Beautiful music, don't you think?""</p><p>""It's not bad,"" I said stiffly. ""The viol brings the right sense of warmth to the piece, but the guitarist is overplaying his part. Still, he adds a certain plangent brio to an otherwise introspective composition...""</p><p>Unwilling to interrupt the concert we slipped past the musicians into the door to.... </p>"	7;16
37	"<p>...a long, open room with no roof.</p><p>""What is going on here?"" they wondered.</p><p>""Sometimes, important messages are couched in ambiguous terms,"" I said. ""That net may help you catch the answer to your question.""</p><p>They looked doubtful. ""We must look at this from all sides before we make a decision."" At last, they were learning.</p><p>They really couldn't decide which way to go; half of them wanted to go one way, half another. They were close to splitting up when there was a rattling sound and one of the doors was shaken from the other side.</p><p>They all stopped talking and moved closer together. They soon agreed on a direction and we departed for...</p>"	15;10;42;20
38	<p>...a narrow space where one wall boasted half-finished carving and another some sort of carnival poster. There was a little confusion as we made our entrance but we soon sorted ourselves out.</p><p>It was impossible to climb up the slippery slide and another door wouldn't open for us, so after emptying the pebbles from our shoes, we marched on to...</p>	40;22;43
39	"<p>...what looked like a combination wine cellar and junk room. Someone had been working here as well.</p><p>""This is more to my taste,"" said one, dusting off some labels. All the bottles turned out to be empty.</p><p>""I hear someone hammering,"" said one.</p><p>""No, that's a chopping sound,"" said another.</p><p>None of them heard the faint jingling that came from behind the wall. ""I don't hear anything,"" I said loudly and, with as much commotion as possible, hurried them out of the room to...</p>"	11;4;12
40	"<p>...the foundation of the Maze. Deep underground stones had been carved and fitted; passages opened in the natural rock.</p><p>""These symbols are quite unusual,"" said one. ""They seem to be primitive signs...""</p><p>""Do you know what signs?"" I asked him.</p><p>""Oh, you know... wind and water, hills and planets.""</p><p>It was surprising that he could identify any of the symbols, but I was relieved that he couldn't read them correctly.</p><p>Choosing more or less at random they went through a passageway to...</p>"	11;6;38
41	"<p>...a room with a special piece of furniture I thought might appeal to my guests.</p><p>""How can we trust that thing?"" one remarked. ""Who knows where it ends up...""</p><p>I knew naturally, but that wasn't the point. They were pretty sure of themselves, and went right on to...</p>"	1;35;10;38
42	"<p>...the next room.</p><p>In one corner a savage animal appeared ready to leap out, roaring, rending with tusk and claw...but it was only a bit of taxidermy after all.</p><p>I suggested they might wish to hang up their coats before going on.</p><p>""How will we find them?"" one asked. ""We might not pass through here again.""</p><p>I assured them I would help them to return. ""You can count on me,"" I said sincerely. Still, they wouldn't leave anything behind.</p><p>Opening one of the doors we made our way to...</p>"	22;30;4;25;37
43	"<p>...a great hall dominated by the entrance to room 22. The face over the door had a sly look.</p><p>""Is it good or bad to have only two choices?"" they wanted to know.</p><p>It was, predictably enough, neither ""good"" not ""bad."" These people just didn't know how to phrase a meaningful question. You have to be very particular in this House.</p><p>We went on to...</p>"	22;38
44	"<p>...a courtyard of palms and statues. The trees waved to each other in the breeze.</p><p>""Who left the door open?"" they wanted to know.</p><p>""We came in that way,"" I offered, but they were convinced we had entered by another door entirely.</p><p>They vanished through the wall and I followed them to...</p>"	21;18
45	"<p>...the room at the center of the Maze.</p><p>My guests thought that whoever lived here was a careless person, to leave so many things around. They were wrong.</p><p>There was really only one thing for them to find: the Riddle of the Maze. They demanded that I show it to them.</p><p>""Do you think it is written on the wall for all to see? It is hidden here, somewhere, perhaps throughout the room. As far as you are concerned, what the Maze teaches can be learned in every room.""</p><p>They looked and looked...every group is the same.</p><p>""Now,"" I said, after a last look around, ""we must find our way back out.""</p><p>Leaving the center of the Maze we found ourselves in...</p>"	28;17;36;19;23
